"rank","slug","source","n_jobs","top_titles","sample_description","industry","confidence"
"295","rwazi","ashby","23","Head of Marketing | Director of Product Design (SaaS) | Head of Research & Development (R&D) | Product Analyst | Decision Systems Architect","Rwazi pays people across the globe to complete short paid tasks — observations, logs, gigs — that turn into structured market intelligence for some of the world's largest brands. Our participants are the supply side of an exchange we sell into Fortune 500 clients. Every activated participant is capacity we monetize. The role You own the discipline of attracting high-intent participants — not leads","tech_software_internet","high"
"296","sustainabletalent","greenhouse","23","AI Safety Engineer | AI Security Engineer | Associate Recruiter | Autonomous Vehicle Operator – Autonomous Vehicle Test Engineer | Executive Market Intelligence Search Specialist (Remote)","Employment Type: Extended Contract Location: Onsite in the Greater Louisville Area Sustainable Talent is seeking a highly motivated&nbsp; Skilled Trades/Manufacturing Recruiter &nbsp;to support one of our valued clients through an extended contract engagement. This position plays a key role in full-cycle recruiting, skilled trades sourcing, and stakeholder collaboration. The ideal candidate will b","consulting_professional_services","high"
"297","tekmetric","greenhouse","23","Account Executive | Customer Onboarding Manager | Events Manager | Manager, Customer Success (SMB & Mid-Market) | Manager, Product Support","About Tekmetric Tekmetric is the all-in-one, cloud-based platform helping auto repair shops run smarter, grow faster, and serve customers better. Built by a shop owner and shaped by the needs of the industry, Tekmetric brings together innovation, real-world experience, and a thriving community to help shops thrive - not just survive.&nbsp;From running a shop, to securing payments to engaging custo","tech_software_internet","high"
"298","the-crox-group","linkedin","23","Product Marketing Manager | Account Manager | Senior Product Manager | Human Resources Generalist | Sterile Processing Technician","Qualifications:Education: Bachelor's degree in legal studies, paralegal studies, or a related field preferred.Experience: Previous experience in a legal setting or administrative role is desirable.Skills: Proficiency in Microsoft Office Suite, strong written and verbal communication skills, attention to detail, and ability to multitask effectively.Knowledge: Familiarity with legal terminology, pro","consulting_professional_services","high"
"299","tilthq","ashby","23","Staff Software Engineer, Backend | Lead IT Engineer, Cashalo | Agentic AI Lead (Business Transformation) | Senior Backend Engineer, NIRA | Senior Software Engineer, Backend","Join the Tilt team At Tilt, we see a side of people that traditional lenders miss. Our mobile-first products and machine learning-powered credit models look beyond credit scores, using over 250 real-time financial signals to recognize real potential. With millions of customers worldwide , we're not just changing how people access financial products — we're creating a new credit system that backs t","tech_software_internet","low"
"300","time-dotcom-berhad","jobstreet","23","Service Delivery Project Manager | Senior Cybersecurity Engineer | Wayleave & Deposit Recovery Specialist | Client Manager (Enterprise Sales) | Field Engineer","[Category: Engineering / Project Management] Metro OSP Project Manager Responsibilities To plan, strategize and monitor all the projects rollout requirement for Outside Plant (OSP) Metro Network including (MAN / CAN / Building Access) in order to complete within the timeline. To coordinate with all stakeholders (wayleave / planner / region etc) and external parties ( ie LA / contractors / building","telecommunications","high"
"301","truenorth-executive-search-inc","linkedin","23","Vice President M&A - Multi-Sector Industrial Equipment Platform – Private Equity | President/Chief Executive Officer - Lower-Middle Market Packaging Manufacturing  | General Manager – Medical Device Manufacturing – Greater Denver Area, 78807 | Chief Financial Officer – Private Equity, Highly Engineered Manufacturing, 78766 | Director of Operations – High Growth Commercial/Structural Products – Fabricatio","Chief Financial Officer - Custom Specialty Manufacturing - Private Equity Growing innovative manufacturing and construction enterprise is actively seeking a hands-on Chief Financial Officer to partner with the CEO in leading the growth and transformation of a well-established and growing Pacific-Midwest based business. The company is positioned to achieve exceptional growth in the near term which ","consulting_professional_services","high"
"302","truezerotech","lever","23","Configuration Management Analyst (R-00151) | Cyber Intelligence Analyst III (R-00139) | Cyber Tool Integration Specialist (R-00105) | Cybersecurity IT Senior Program Manager (R-00148) | Cybersecurity Operations Analyst (R-00156)","True Zero Technologies, a veteran-owned small business, was founded on the principle that the purposeful enablement of people and technology in an organization directly ties to the quality of its outcomes. True Zero recognizes that those outcomes begin and end with our people, and that is what we have built a community of like-minded, driven, and passionate individuals and innovators who are align","defense_aerospace","high"
"303","walkerconsultants","lever","23","Curb Management, Mobility, and Parking Consultant | Design Technician | Director of Building Envelope | Director of Design Services | Director of Forensics & Restoration","How Your Role will Shape Our Success Walker Consultants is seeking a Structural Project Manager to lead the design, coordination, and execution of parking structure projects. This role is ideal for an experienced structural engineer who excels in both technical expertise and project management. The successful candidate will take charge of overseeing multiple projects, ensuring seamless collaborati","consulting_professional_services","high"
"304","watson-s-personal-care-stores-sdn-bhd","jobstreet","23","Human Resource Business Partner (HRBP), Executive | Data Analysis Senior Executive (Commercial Analysis) | Business Analyst | Internal Audit Senior Executive (Process Improvement) | Senior Application Engineer","[Category: Healthcare & Medical / Pharmacy] Job Description What will you do ? Provide customers with counseling and drug information on medicines and health problems. Accountable for the sales of Health Division. Accountable for stockholding / inventory control of Health Division. Provide general advice on healthcare (and beauty care as well. To ensure that dispensary products displayed are prope","retail_ecommerce","high"
"305","whogivesacrap","greenhouse","23","Community Team Member | Community Team Member - Freelance | Creative Strategist, UK (9 month contract) | Director of Growth Marketing, UK | Director of Pricing & Revenue Management","Not all heroes wear capes — but plenty of them use toilet paper Want to challenge yourself at a purpose-led scale up AND make a difference in the world? Come join the revolootion! Funny name, serious business We make eco-friendly products and donate 50% of our profits to provide clean water and help build toilets for the billions of people who lack proper access. So far, we’ve contributed over $18","consumer_brands","high"
"306","wildlifestudios","greenhouse","23","Accounting Specialist | Business Analyst | Business Analytics Intern | Business Operations Associate | BizOps | Communications Analyst","We're looking for a talented and passionate UI/UX Designer &nbsp; to join Wildlife's Game Art Team in São Paulo. The Game Art Team at Wildlife is growing. With an audience that numbers in the millions, our games have the power to impact countless lives. Our games connect people with interesting characters, vibrant worlds, and unforgettable experiences.&nbsp; That's no small task, but we have a pow","gaming","high"
"307","wistron-technology-malaysia-sdn-bhd","jobstreet","23","Mechanical Engineer (R&D) | Engineer - PME (Final Assembly) | Procurement Sourcing Management | Department Secretary - Port Klang | Technician","[Category: Manufacturing, Transport & Logistics / Purchasing, Procurement & Inventory] Looking for candidate who has knowledge, skill and ability to responsible Follow Material Requirement Planning (MRP) demand lead time to release Purchase order Tracking vendors material preparation, production, and shipment status to ensure the ordered materials are delivered to company warehouse in time Provide","tech_hardware_semiconductors","high"
"308","zuspresso-m-sdn-bhd","jobstreet","23","Senior PHP Developer | Financial Controller | Head of Financial & Planning Analysis | Manager, Financial Planning & Analysis | Corporate Governance, Risk and Compliance Manager","[Category: Retail & Consumer Products / Merchandisers] Position Responsibilities Visual Merchandising Strategy Develop and implement visual merchandising strategies aligned with brand guidelines and marketing objectives. Plan and execute visual displays, signage, and product presentations to enhance the overall retail environment. Continuously evaluate and refresh merchandising techniques to maxim","hospitality_food_service","high"
"309","Talos-Trading","ashby","22","Software Engineer, Trading Connectivity, Singapore | Software Engineer, New York | Software Engineer, London | Client Services Engineer, New York | Senior Manager, People Team","Institutional Fabric for the Digital Asset Market Founded in 2018, Talos provides institutional-grade trading technology for the global digital asset market, powering many of the major players in the crypto ecosystem. Our mission is clear: to advance the mass adoption of digital assets by seamlessly connecting institutions to the digital asset ecosystem. We are committed to building the most innov","finance_fintech","high"
"310","actian","lever","22","AI Engineer Intern, Database Performance Knowledge | AI Productivity Customer Success Intern | Customer Success AI Insights Intern | DevOps Engineer | Enterprise Database Sales Engineer","Company Our Vision is to be the Most Trusted, Flexible and Easy to Use Hybrid Cloud Data Platform. Actian is transforming industries by empowering companies to accelerate application modernization and simplify the Cloud journey. Our customers use the Actian Data Platform to unify their siloed data, explore and securely exchange data to run a variety of analytic workloads that provide real time bus","tech_software_internet","high"
"311","afterquery","ashby","22","Strategic Projects Lead | Growth Associate | Software Engineer - Platform/Applied AI (Fullstack) | Strategic Projects - Coding Intern | AI/ML Research Intern","AfterQuery is looking for creative, driven undergraduate students to join us for the summer as a Growth Intern. You’ll help us expand AfterQuery’s expert-network, drive on-campus engagement, and launch innovative initiatives that shape the future of AI and startups, all while gaining access to unique incentives and career opportunities. This is a high-agency role designed for students who thrive o","tech_software_internet","high"
"312","airspace-intelligence.com","ashby","22","Internship - Software Engineer | Frontend Engineer | Cloud Platform Engineer | Software Engineer | Deployment Lead (Civil Aviation)","About Air Space Intelligence ASI's mission-critical technology powers decision-making across aviation, defense, energy, and other critical infrastructure domains. Backed by top-tier investors including Andreessen Horowitz, Spark Capital, and Renegade Partners, ASI delivers operational decision superiority—compressing days of analysis into seconds of action. ASI is leading the way and pushing the b","tech_software_internet","high"
"313","alphagrepsecurities","greenhouse","22","Business Operations | Campus Program | Devops Engineer | General Technology Submissions: Developers, Devops, Systems, FPGA | Junior Quantitative Researcher","AlphaGrep is a quantitative trading and investment firm founded in 2010. We are one of the largest firms by trading volume on Indian exchanges and have significant market share on several large global exchanges as well. We use a disciplined and systematic quantitative approach to identify factors that consistently generate alpha. These factors are then coupled with our proprietary ultra-low latenc","finance_banking","high"
"314","ampstek","linkedin","22","Electrical Engineer (Power Supply) | CISCO NSO DNA Engineer | TECHNICAL WRITER WITH AUTOMOTIVE DOMAIN | Technical Writer (Aerospace Exp. Preferred) | Elastic Path Product (Fullstack Developer)","Role : Senior IHS Markit EDM DeveloperLocation: Fort Mills ,SC- Onsite Skills:Expertise in IHS Markit EDM Product (Building ETL flow/pipeline using Markit EDM to integrate/process market data on the ESB), expertise in SQL.Experience in DW, ETL, SQL, Data Lake etc.Min. 7+ years of experience in IHS Markit EDMExperience in Agile and DevOps Software development methodologies.Good-to-Have experience i","consulting_professional_services","high"
"315","anrok","ashby","22","Software Engineer (7+ years of experience) | Software Engineer, Infrastructure | Software Engineer (4+ years of experience) | Account Executive, Commercial | Product Manager, Activation","Anrok is the leading tax automation platform enabling businesses to expand globally without compliance complexity. As the digital economy has grown 6x over the last decade, software businesses have gone from not worrying about sales tax to needing to monitor exposure, calculate rates, and file returns across 50+ US jurisdictions and many countries worldwide. This creates a critical bottleneck for ","tech_software_internet","high"
"316","antithesis","ashby","22","Software Engineers | All Levels | Customer Success Manager | Senior Account Executive | Business Development Representative | Forward Deployed Engineer","About Antithesis We provide a platform that helps engineering teams identify and resolve bugs that traditional testing approaches miss. Antithesis runs your entire system in a deterministic simulation, breaks it in every way imaginable, and hands you a root cause and a perfect reproduction — no flaky tests, no false positives, no ""works on my machine"". This allows engineering teams to debug faster","tech_software_internet","high"
"317","arcboatcompany","greenhouse","22","Commercial Field Systems Technician | Defense Business Development Manager | Defense Partnerships Manager | Director, Supply Chain Operations | Electrical Integration Engineer","What we’re building Every idea starts with a problem. Ours was simple: Boats are special — but they’re loud, pollutant, unreliable, and stuck in the past. Gas-powered boats dominate not because they’re great, but because no better option has existed. Until now. Arc is here to change that. We’re building 100% electric boats from the ground up — quicker, quieter, easier to maintain, and better for t","automotive","medium"
"318","architect-of-the-capitol","usajobs","22","Gardener | Inventory Management Specialist | Painter Refinisher Leader | Maintenance Mechanic | Sheet Metal Mechanic (Roofing)","You must meet all eligibility and qualifications requirements by the closing date of the job announcement. You must meet the SCREEN OUT required for this position which includes: -Ability to perform the work of a journey-level painter with an appropriate Level of Supervision Your application must show that you have sufficient training and/or experience to perform the duties of the position as desc","public_sector_government","high"
"319","ashley-furniture-industries","linkedin","22","Sr. Automation Designer | Retail Distribution Center Delivery Helper | Environmental Intern | Human Resources Generalist - 2nd Shfit | Accounting Associate","Build Your Career with Ashley Onsite Recruiter Who We Are At Ashley, we’re more than a business…we’re family. As the largest manufacturer of home furnishings in the world, we know what it takes to build incredible furniture and future leaders. We’re problem solvers with the grit to persevere during challenging times and innovators who won't coast when times are good. We create solutions, not excus","consumer_brands","high"
"320","assetwatch","greenhouse","22","Accounting Manager | Backend Engineer | Business Development Representative | Condition Monitoring Engineer | Customer Success Enablement Manager","AssetWatch serves global manufacturers by powering manufacturing uptime through the delivery of an unparalleled condition monitoring experience, with a passion to care about the assets our customers care for every day. We are a devoted and capable team that includes world-renowned engineers and distinguished business leaders united by a common goal – To build the future of predictive maintenance. ","tech_software_internet","high"
"321","aufinity-group-gmbh","ashby","22","(Senior) Grafik Designer - Marketing (m/w/d) | (Senior) Partnership Manager (m/w/d) | (Senior) European Partnership Manager (m/f/d) | Account Executive (m/w/d) | (Senior) Sales Manager Spain (m/f/d)","ÜBER UNS Wir sind die aufinity Group GmbH - eines der am schnellsten wachsenden FinTech-Scale-ups in Deutschland. Gemeinsam bauen wir Europas neuen Standard für digitales Zahlungsmanagement im Automotive Bereich aus dem Herzen Kölns. Seit 2018 optimieren wir mit unserer Plattform bezahl.de die Zahlungsprozesse in der Automobilindustrie. bezahl.de automatisiert, digitalisiert und vereinfacht den ge","finance_fintech","high"
"322","axios","greenhouse","22","Account Executive, Pro Deals | Account Manager, Client Success | Analytics Engineer | Associate, Axios Live - Talent Pool | Associate, Business Development","1 big thing: Axios is a growth-focused media company dedicated to helping people get smarter, faster on what matters. We’re looking for a Software Engineer to help scale the systems that power Axios’ core products. Why it matters: At Axios, we deliver news that’s clinical, trustworthy, and informative — reaching millions of readers every day. As a Software Engineer , you’ll help power the services","media_entertainment","high"
"323","bee-talents","lever","22","*Hej! Zostańmy w kontakcie! | Bee Talents [PL] | *Hi! Let's keep in touch! | Bee Talents [ENG] | Analityk Produkcji [k/m] | Stokson Modern Bakery - Dooti Donuts [UoP] | BIM Manager | VIATechnik [ B2B] | Remote | Business Development Representative | Naturaily [ 13-17K PLN net VAT + commissio","Who are we? We're Bee Talents, an IT recruitment agency that has been helping clients from all around the world in building their technical teams since 2015. Today, we would like to invite you to participate in the recruitment process for YAPEAL, a Swiss fintech operating in the payments and embedded finance space. YAPEAL is a regulated fintech with a FINMA banking licence, building modern financi","consulting_professional_services","high"
"324","billcom","greenhouse","22","Account Executive Growth - Spend & Expense | Email & Lifecycle Marketing Manager | Enterprise Account Executive, Supplier Growth | Growth Account Executive - AP | Growth Account Executive - Ecosystem","Innovate with purpose At BILL, we believe in empowering the businesses that drive our economy. By replacing outdated financial processes with innovative tools, we help businesses—from startups to established brands—make smarter decisions and gain control of their operations. And we don’t stop there: we’re creating the future of financial automation so businesses can spend more time on what matters","finance_fintech","high"
"325","bipo-service-malaysia-sdn-bhd","jobstreet","22","QA Engineer | Regional Project Manager/Consultant | Product Analyst | Global Payroll Service Delivery Consultant | Senior Product Analyst - Regional Payroll","[Category: Accounting / Payroll] Role & Responsibilities: To deliver efficient, accurate payroll and administrative functions, and monthly invoices to all clients. And provides client support and answer client's queries as and when required. Part (A): Payroll Outsourcing Responsible for all clients’ (assigned under the portfolio) end-to-end payroll processing functions, including the supervision o","consulting_professional_services","high"
"326","brindleyengineering","lever","22","Associate Instrumentation Engineer | Associate Process Engineer | Associate Structural Engineer | Electrical Engineer | Field Technical Specialist","Job Description: Detail-oriented, reliable, creative team player to manage maintenance and reliability & capital projects. You may be assigned projects from award to closeout or projects at various stages of development. This position may reside at one of our client sites or from our office in Lisle, IL. Job Duties/Responsibilities: •Responsible for the execution of all aspects of a project, inclu","consulting_professional_services","high"
"327","capital-staffing-solutions-inc","linkedin","22","Senior Tax Manager | Attorney | Medical Lab Scientist | Microsoft Dynamics Consultant | Growth Marketing Analyst IV REMOTE- Various Locations","Job TitleSmart Plant Administrator - Lake Mary, FL DurationDirect Hire Location Lake Mary, FL Hours/ShiftsM-F 8a-5p SUMMARYA Smart Plant Administrator plays a crucial role in overseeing and optimizing the SmartPlant software system to support engineering and construction projects, focusing on data management, configuration, customization, security, and user support.ESSENTIAL DUTIES & RESPONSIBILIT","consulting_professional_services","high"
"328","cdcfoundation","lever","22","Chemist II | Chronic Disease Epidemiologist | EMSA3 Microservice Developer (Event-Driven Architecture) | Epidemiologist – Electronic Case Reporting (eCR) Evaluation | EpiTrax Outbreak and Exposure Enhancements Developer","Position Title: Chemist II Location: Onsite (Raleigh, North Carolina) Position End Date: 2/28/2027 Salary: $67,000 plus benefits About the CDC Foundation The CDC Foundation helps the Centers for Disease Control and Prevention (CDC) save and improve lives by unleashing the power of collaboration between CDC, philanthropies, corporations, organizations, and individuals to protect the health, safety ","nonprofit","high"
"329","centific-global-solutions-m-sdn-bhd","jobstreet","22","Senior Accountant | Internet Researcher (Arabic or Thai - MY) | Technical Business Analyst (BA) | Internet Researcher (Hong Kong or Taiwanese) - Johor (Fresh Graduates) | Electrical & Electronic (EE) Product Engineer","[Category: Information & Communication Technology / Programme & Project Management] Position Title: Software Project Manager in localization/AI industry Work location: Penang, Malaysia Working hours: Mon - Fri, 8.00am - 5.00pm Type of employment: Full Time The Project Manager (PM) is responsible for overseeing the changes/updates in projects. They act as the point of contact between PAs/PCs and SP","consulting_professional_services","high"
"330","chico-s-fas-inc","linkedin","22","Assistant Store Manager - Chico's | Support Associate - Chico's | Support Associate - White House Black Market | Sales Lead - Chico's | Sales Lead - Soma","We are customer obsessed, innovative, and have the best culture in retail. Join our team today! Position Objective The Store Manager is primarily responsible for promoting a customer and product-focused sales culture where our values and guiding principles are at the forefront of all store operations, including managing sales operations, asset protection, and human resources functions to ensure gr","retail_ecommerce","high"
"331","clearedge","lever","22","Application Engineer IV | Building Technician | Database Engineer II | Database Engineer III | Full Stack Software Engineer","Join ClearRealty LLC and become part of a team focused on owning, managing, and improving properties that strengthen communities. Our professionals support a diverse portfolio of commercial and residential properties while delivering high-quality property management and home services that enhance the experience of tenants, residents, and partners. As part of the ClearSpectrum LLC family of compani","consulting_professional_services","high"
"332","clearviewhealthcarepartners","greenhouse","22","Consultant - Analytics COE | Consultant - Insights COE | Consulting Project Team Lead - Corporate Strategy | Consulting Project Team Lead - Corporate Strategy (Multiple offices) | Consulting Project Team Lead - Investor","ClearView Healthcare Partners is a premier life sciences strategy consulting firm headquartered in Boston, with offices in San Francisco, New York City, London and Gurgaon. Serving clients in the biopharmaceutical, medical device, and diagnostic spaces, we provide world-class strategic decision-making support across a diverse range of business issues. Our goal is to inform actionable recommendatio","consulting_professional_services","high"
"333","constantcontact","greenhouse","22","Account Executive | AI Solutions Engineer | Director, Performance Marketing | Director, Revenue Analytics | Lead Data Analyst - Product Growth","At Constant Contact, we are seriously awesome people who take ownership and make an impact by operating with the mindset, integrity and courage of a small business owner.&nbsp; There’s something so profoundly rewarding about knowing that your work is empowering people everywhere to pursue their dreams .&nbsp; Here, we all play an integral part in helping business owners, entrepreneurs, non-profits","tech_software_internet","high"
"334","constructortech","greenhouse","22","Business Manager (to President for Türkiye & the Balkans) - Middle+/Senior- | CRM Administrator | Customer Success Coordinator (German Speaking) | Frontend Engineer (Intern) | Head of Engineering","Our mission Constructor’s mission is to enable all educational organisations to provide high-quality digital education to 10x people with 10x efficiency.&nbsp; With strong expertise in machine intelligence and data science, Constructor’s all-in-one platform for education and research addresses today’s pressing educational challenges: access inequality, tech clutter, and low engagement of students.","tech_software_internet","high"
"335","delartech","greenhouse","22","Audio Electrical Engineer | Audio Render Experience Engineer | Audio System Engineer | Battery Lab Manager | Battery Lab Technician","About the job Delart is home to a team of world-class engineers and project leaders dedicated to developing the next generation of advanced networking technologies, consumer devices, and innovative technology solutions. Trusted by some of the world’s leading technology companies, we deliver highly scalable, mission-critical solutions that power both consumer and business applications globally. Sin","automotive","medium"
"336","delaware-north","linkedin","22","In-Seat Runner, American Family Field | Chophouse Runner, Truist Park | Club Level Stand Attendant, American Family Field | Cook II, Wuksachi Lodge | Suites Runner, American Family Field","The Opportunity Delaware North is hiring a full-time IT Technician to join our team for support of Patina Restaurant locations on the west coast, in Los Angeles, California. With all technology at your fingertips and the Operation Lead by your side, you will work to support daily technical operations on the west coast. If you are an IT Administrator that enjoys troubleshooting, assisting with impl","hospitality_food_service","high"
"337","dish-network","linkedin","22","Inventory Specialist | Distribution Supervisor | Supply Chain Program Manager II | Field Technician | Marketing Lead - Employer Brand","Company Summary DISH, an EchoStar Company, has been reimagining the future of connectivity for more than 40 years. Our business reach spans satellite television service, live-streaming and on-demand programming, smart home installation services, mobile plans and products, and now we are building America’s First Smart Network™. Today, our brands include EchoStar, Hughes, DISH TV, Sling TV, Boost In","telecommunications","high"
"338","distyl","ashby","22","Senior Platform Product Manager (AI Systems) | Software Engineer - Back End | Lead AI Engineer | Applied AI Researcher, System Discovery | Applied AI Researcher, System Self-Improvement","About Distyl AI Distyl is an applied AI technology company partnering with the world’s most ambitious institutions to rearchitect critical operations for the frontier of AI. Our customers include the largest companies in telecom, healthcare, insurance, manufacturing, consumer goods, and global social organizations. We research and deploy technologies that power AI-native operations — both for our ","tech_software_internet","high"
"339","dmgevents","greenhouse","22","Accounts Receivable Accountant - Fixed Term (6 Months) | Commercial Director | Commercial Sales Manager | Conference Manager | Conference Manager (Arabic Speaker)","Job Purpose: The Sales Manager is responsible for driving sponsorship and exhibition revenue growth through strategic account management, business development, and consultative sales across the event portfolio. The role focuses on retaining and expanding key accounts, identifying new business opportunities, negotiating high-value partnerships, and delivering commercially successful outcomes across","media_entertainment","high"
"340","dreamsports","lever","22","AVP/VP Membership Sales | Director - Data Science | DSG - Manager - MISE - Product and Contracting | Executive - Talent Acquisition | Executive/Sr.Executive/Manager - Sales","Technology @ FanCode We have one mission: Create a platform for all sports fans. Built by sports fans for sports fans we cover Sports Live Video Streaming, Live Scores & Commentary, Video On Demand, Player Analytics, Fantasy Research, News and very recently e-Commerce. We’re at the beginning of our story and growing at an incredible pace. Our tech stack is hosted on AWS and is built on Amazon EC2,","gaming","high"
"341","echo","ashby","22","ML Research Engineer, Speech | ML Infrastructure Engineer | Applied AI Scientist | Applied AI Scientist, Language & Context | Other Opportunities at Echo","Our client, a leading wealth management firm located in Des Moines, is seeking a Client Service Associate to add to their dynamic and growing team. This office has a long standing reputation in the area and works closely with high-net worth clients and small businesses to provide comprehensive financial planning. Responsibilities:Deliver advisor-ready meeting prep and follow up materialsRepresent ","tech_software_internet","high"
"342","effectiveschoolsolutions","greenhouse","22","[2026-2027] Licensed School-Based Clinical Program Coordinator | [2026-2027] Licensed School-Based Mental Health Clinician | [2026-2027] Licensed School-Based Mental Health Clinician (Lead) | [2026-2027] Licensed School-Based Mental Health Screener | [2026-2027] Mental Health Technician","CLINICIAN &nbsp; Transforming student mental health in schools. &nbsp; About Effective School Solutions &nbsp; Effective School Solutions (ESS) is a leading provider of school-based mental health services, serving 6,000+ K–12 students across 12 states. &nbsp; We deliver the level of clinical care typically found in private practice, out-of-district placements, or higher levels of care directly wit","healthcare_provider","high"
"343","emerson","linkedin","22","Integrated Marketing Specialist | Technical Sales Representative | Distribution Worker | Product Service Center Technician | Sales, Inventory, Operations & Planning (SIOP) Manager","Job Description If you are a skilled Machinist looking for an opportunity to grow, Emerson has an exciting opportunity for you based in Brenham, TX! Under limited supervision, sets up and operates two or more production machines on complicated production work involving difficult operations, close tolerances, and difficult set-ups of parts. Has basic under-standing when working with various metal p","manufacturing","high"
"344","energyhub","greenhouse","22","Contract Opportunity: Marketing Writer, Energy Sector | Director, Business Development | Director, Partner Solutions | Engineering Intern - C&I | Engineering Intern - Data Engineering","About the opportunity &nbsp; We are seeking a Software Architect who fundamentally understands that software architecture is an economic and business tool, not just an academic exercise. We do not want an ""Ivory Tower"" architect who dictates policy from afar. Instead, we need a hands-on, pragmatic leader who operates as a ""civil servant"" to our execution teams, embedding with them to understand th","energy_utilities","high"
"345","equativ","lever","22","Account Executive | Account Manager (UK & Northern Europe) | Account Manager - AdTech | Account Manager, APAC | Adjoint(e) administratif(ve) de direction","We are looking for a motivated and energetic intern to join our Cash Collection and Treasury team. The role will focus mainly on cash collection, around 90% of the internship. Cash management tasks will represent around 10% and will be introduced gradually once the intern understands our processes, clients, and business environment. This is a hands-on role in a fast-paced ad tech environment. The ","tech_software_internet","high"
"346","evismart","greenhouse","22","Account Executive | AI & Automation Engineer | AI Workflow Adoption Lead | Automation QA | Content & Product Marketing Lead","EviSmart Automation &amp; Stability Engineer ""Most QA roles are the last line of defense — they catch failures after they happen. This one is the system that makes failures impossible to reach production in the first place."" &nbsp; 📍&nbsp;BGC, Taguig, Philippines •&nbsp;&nbsp;On-site&nbsp;&nbsp;•&nbsp;&nbsp;Full-Time WHAT EVISMART IS BUILDING EviSmart is the leading dental Autopilot system operati","tech_software_internet","high"
"347","fixinssoulkitchen","lever","22","Assistant General Manager | Baker | Barback | Bartenders | Busser","Company Overview Fixins Soul Kitchen seeks to redefine the American soul food experience. We are full-service restaurants that uniquely combine traditional soul food with outstanding service and hip, energetic dining environments. Founded by former NBA All Star Kevin Johnson and his wife, Michelle, Fixins’ menu is rooted in the Southern recipes passed down through generations from Kevin’s family a","hospitality_food_service","high"
"348","forbes","greenhouse","22","Account Manager | Designer, ForbesLive | Director, ForbesLive | Engineer, Corporate Technology | Executive Director, E-Commerce Partnerships","Forbes is an iconic global media brand that has symbolized success for over a century. Fueled by journalism that informs and inspires, Forbes spotlights the doers and doings shaping industries, achieving success and making an impact on the world. Forbes connects and convenes the most influential communities ranging from billionaires, business leaders and rising entrepreneurs to creators and innova","media_entertainment","high"
"349","formationbio","greenhouse","22","Associate Director, Analytical Development & QC | Associate Director, Bioanalytical Development | Associate Director, Data Engineering (Real World Data) | Associate Director, Drug Substance, Biologics | Associate Strategic Buyer","About Formation Bio Formation Bio is a tech and AI driven pharma company differentiated by radically more efficient drug development. &nbsp; Advancements in AI and drug discovery are creating more candidate drugs than the industry can progress because of the high cost and time of clinical trials. Recognizing that this development bottleneck may ultimately limit the number of new medicines that can","healthcare_pharma_biotech","high"
"350","further","greenhouse","22","Integrations Support Engineer | Business Operations Specialist | Adobe (AEP) Architect | AI Strategist (ATL) | AI Strategist (AUS)","WE’RE HIRING! If you love data and are looking for unlimited growth opportunities, we want to talk with you about joining Further. Further is a data, cloud, and AI company whose focus is helping companies turn raw data into the right decisions. We have an award winning culture of extraordinary people. Our purpose is to enable people to thrive so that businesses can thrive. We believe that the work","consulting_professional_services","high"
"351","fusionworldwide","greenhouse","22","Business Development Manager (Beijing) - Remote | Business Development Manager (Tokyo) | Hardware Tester (Singapore) | HR Admin | Purchasing Representative (Japanese Speaking)","Position Summary: This opportunity is for proactive and detail-oriented candidates who can multitask and manage their workload in a fast-paced environment. This candidate will be working with like-minded team members in a vibrant and energetic office environment. What we can do for you!&nbsp;&nbsp; Provide training to give you the knowledge to thrive in a fast-paced environment Offer support throu","tech_hardware_semiconductors","medium"
"352","gess","lever","22","Academic Coach/ Schulbegleitung AY25/26 | Admissions Officer | Graphic Design and Photo/ Video Assistant | Lehrer/-in Grundschule - Primary School Teacher | Long-Term Internship/ Schulassistenz für Lehramtsstudierende","About GESS As one of the leading international schools in Singapore, GESS is home to students from over 70 nations worldwide. We are for many families the home away from home and we are very happy that they are part of our school community which is based on mutual support and solidarity. With our language programme, we support our students to nurture this part of their identity and want to preserv","education_k12","high"
"353","gumgum","greenhouse","22","Account Manager | Ad Exchange Engineer | Data Scientist I | Digital Director | Digital Executive","GumGum is The Mindset Company™ transforming advertising. We’re an advertising technology company delivering results by matching brands with people in the right mindset in the moments that matter. Our platform is powered by the Mindset Graph™, our AI-driven data engine that processes billions of real-time contextual, creative, environmental, and historical signals to match every ad with the most re","tech_software_internet","high"
"354","gypsum-management-and-supply","linkedin","22","Counsel, Employment Law | Warehouse | CDL Delivery Driver | Delivery Helper | Non-CDL Delivery Driver","Gypsum Management & Supply, Inc. (GMS) is the leading North American distributor of gypsum wallboard, acoustical ceiling products and other specialty building materials. Founded in 1971, GMS now operates an expansive network of distribution centers nationwide. Westside Building Material is a family-owned business started by Beulah and Evan Peckham in 1935 to serve the lath and plaster trades in th","real_estate_construction","high"
"355","habitathealth","greenhouse","22","Activities Aide | Clinic Supervisor (RN) | Director, Platform Strategy | EHR Associate Analyst | Executive Director - San Leandro (PACE)","At Habitat Health, we envision a world where older adults experience an independent and joyful aging journey in the comfort of their homes, enabled by access to comprehensive health care. Habitat Health provides personalized, coordinated clinical and social care as well as health plan coverage through the Program of All-Inclusive Care for the Elderly (“PACE”) in collaboration with our leading heal","healthcare_provider","high"
