slug,industry,note
ifm-us,tech_software_internet,llm_tail_v1 (high)
invoicecloud,tech_software_internet,llm_tail_v1 (medium)
meta,tech_software_internet,llm_tail_v1 (high)
quantum-world-technologies-inc,tech_software_internet,llm_tail_v1 (high)
rapsol-technology-sdn-bhd,tech_software_internet,llm_tail_v1 (medium)
speak,tech_software_internet,llm_tail_v1 (high)
spectraforce,manufacturing,llm_tail_v1 (high)
strategichr,manufacturing,llm_tail_v1 (high)
supabase,tech_software_internet,llm_tail_v1 (medium)
tanisha-systems-inc,real_estate_construction,llm_tail_v1 (high)
the-chefs-warehouse,finance_insurance,llm_tail_v1 (high)
torq,tech_software_internet,llm_tail_v1 (medium)
wargamingen,tech_software_internet,llm_tail_v1 (medium)
yipitdata,tech_software_internet,llm_tail_v1 (medium)
abinbev,tech_software_internet,llm_tail_v1 (high)
akima,tech_software_internet,llm_tail_v1 (high)
atlas-search,healthcare_pharma_biotech,llm_tail_v1 (medium)
atrium,media_entertainment,llm_tail_v1 (high)
bitgo,finance_fintech,llm_tail_v1 (high)
braintrust,tech_software_internet,llm_tail_v1 (high)
buyersedgeplatformrecruiting,consulting_professional_services,llm_tail_v1 (high)
capitalontap,tech_software_internet,llm_tail_v1 (high)
caterpillar-inc,transportation_logistics,llm_tail_v1 (high)
comparaja,tech_software_internet,llm_tail_v1 (medium)
dash0,real_estate_construction,llm_tail_v1 (medium)
dualentry,tech_software_internet,llm_tail_v1 (medium)
elabram-systems-sdn-bhd,transportation_logistics,llm_tail_v1 (high)
latitude,tech_software_internet,llm_tail_v1 (medium)
mewssystems,tech_software_internet,llm_tail_v1 (medium)
midihealth,finance_insurance,llm_tail_v1 (medium)
northpointtechnology,manufacturing,llm_tail_v1 (high)
oneacrefund,agriculture_food_production,llm_tail_v1 (medium)
pingidentity,tech_software_internet,llm_tail_v1 (high)
scaleway,tech_software_internet,llm_tail_v1 (medium)
simpsongumpertzheger,consulting_professional_services,llm_tail_v1 (medium)
sunway-property,real_estate_construction,llm_tail_v1 (medium)
the-us-oncology-network,healthcare_devices,llm_tail_v1 (high)
aclu,public_sector_government,llm_tail_v1 (medium)
bloomreach,tech_software_internet,llm_tail_v1 (high)
criticalmass,media_entertainment,llm_tail_v1 (medium)
docebo,tech_software_internet,llm_tail_v1 (high)
externaljobboards,tech_software_internet,llm_tail_v1 (high)
genedx,healthcare_provider,llm_tail_v1 (high)
greatech-integration-m-sdn-bhd,tech_software_internet,llm_tail_v1 (high)
hallmark-cards,retail_ecommerce,llm_tail_v1 (high)
ispace-inc,public_sector_government,llm_tail_v1 (high)
kenanga-investment-bank-berhad,finance_banking,llm_tail_v1 (high)
kraken.com,tech_software_internet,llm_tail_v1 (high)
malaysian-communications-and-multimedia-commission,media_entertainment,llm_tail_v1 (high)
mcadams,real_estate_construction,llm_tail_v1 (high)
mindlance,tech_software_internet,llm_tail_v1 (high)
nesco-resource,real_estate_construction,llm_tail_v1 (medium)
next-decade,energy_utilities,llm_tail_v1 (medium)
samsung-malaysia-electronics-sme-sdn-bhd,tech_hardware_semiconductors,llm_tail_v1 (high)
statista,tech_software_internet,llm_tail_v1 (high)
swift-support-services-malaysia-sdn-bhd,real_estate_construction,llm_tail_v1 (high)
the-guitar-center-company,tech_software_internet,llm_tail_v1 (medium)
topcompare,finance_fintech,llm_tail_v1 (medium)
williamblair,healthcare_pharma_biotech,llm_tail_v1 (high)
zocdoc,tech_software_internet,llm_tail_v1 (high)
auterion,tech_software_internet,llm_tail_v1 (high)
blockstream,tech_software_internet,llm_tail_v1 (high)
brandtechplus,tech_software_internet,llm_tail_v1 (high)
cartesia,tech_software_internet,llm_tail_v1 (high)
ceribell,healthcare_provider,llm_tail_v1 (medium)
clovirtualfashion,consumer_brands,llm_tail_v1 (high)
constructionresources,tech_hardware_semiconductors,llm_tail_v1 (medium)
dropbox,tech_software_internet,llm_tail_v1 (high)
ebanx,finance_fintech,llm_tail_v1 (medium)
ferguson,real_estate_construction,llm_tail_v1 (medium)
freenow,tech_software_internet,llm_tail_v1 (medium)
general-dynamics-information-technology,tech_software_internet,llm_tail_v1 (medium)
jobber,tech_software_internet,llm_tail_v1 (high)
joko,tech_software_internet,llm_tail_v1 (high)
komodohealth,healthcare_provider,llm_tail_v1 (medium)
lighthouse,tech_software_internet,llm_tail_v1 (medium)
motorola-solutions-malaysia-sdn-bhd,tech_software_internet,llm_tail_v1 (high)
powerdigitalmarketing,retail_ecommerce,llm_tail_v1 (high)
rain,finance_fintech,llm_tail_v1 (medium)
teneolinkedin,tech_software_internet,llm_tail_v1 (high)
webfx,consulting_professional_services,llm_tail_v1 (medium)
wipro,tech_software_internet,llm_tail_v1 (high)
10xgenomics,tech_software_internet,llm_tail_v1 (medium)
a-ropostale,retail_ecommerce,llm_tail_v1 (high)
altruist,tech_software_internet,llm_tail_v1 (high)
arrivelogistics,transportation_logistics,llm_tail_v1 (high)
bluefishai,tech_software_internet,llm_tail_v1 (medium)
boardroom-corporate-services-sdn-bhd,real_estate_construction,llm_tail_v1 (high)
caseware,tech_software_internet,llm_tail_v1 (medium)
ceg,tech_software_internet,llm_tail_v1 (high)
connectwise,tech_software_internet,llm_tail_v1 (high)
ctos-data-systems-sdn-bhd,tech_software_internet,llm_tail_v1 (high)
docker,tech_software_internet,llm_tail_v1 (high)
enviva,energy_utilities,llm_tail_v1 (medium)
faradayfuture,tech_software_internet,llm_tail_v1 (high)
flowlife,defense_aerospace,llm_tail_v1 (medium)
g2i,real_estate_construction,llm_tail_v1 (high)
gigaenergy,tech_software_internet,llm_tail_v1 (medium)
health-ecareers,public_sector_government,llm_tail_v1 (medium)
jobs-page-4dc2685b-eb82-46d1-a3f9-1f0764dba814,tech_software_internet,llm_tail_v1 (high)
keck-medicine-of-usc,healthcare_provider,llm_tail_v1 (medium)
naturesbakery,manufacturing,llm_tail_v1 (medium)
plexus-manufacturing-sdn-bhd,manufacturing,llm_tail_v1 (high)
protolabs,tech_software_internet,llm_tail_v1 (high)
reprally,tech_software_internet,llm_tail_v1 (high)
simplisafe,tech_software_internet,llm_tail_v1 (high)
tarro,tech_software_internet,llm_tail_v1 (high)
tekion,tech_software_internet,llm_tail_v1 (high)
telixus,tech_software_internet,llm_tail_v1 (high)
unispace,defense_aerospace,llm_tail_v1 (high)
wongdoody,tech_software_internet,llm_tail_v1 (high)
arsiem,tech_software_internet,llm_tail_v1 (high)
bandwidth,tech_software_internet,llm_tail_v1 (medium)
barnes,legal_services,llm_tail_v1 (high)
capricor,healthcare_provider,llm_tail_v1 (high)
caronsale,automotive,llm_tail_v1 (medium)
cognizant-technology-solutions,real_estate_construction,llm_tail_v1 (high)
css,tech_software_internet,llm_tail_v1 (high)
eightsleep,tech_software_internet,llm_tail_v1 (medium)
forgen,real_estate_construction,llm_tail_v1 (high)
fourhands,defense_aerospace,llm_tail_v1 (medium)
gomotive,automotive,llm_tail_v1 (medium)
grailbio,tech_software_internet,llm_tail_v1 (high)
highmetric,tech_software_internet,llm_tail_v1 (medium)
iconcareers,tech_hardware_semiconductors,llm_tail_v1 (high)
keysight-technologies-malaysia-sdn-bhd,tech_hardware_semiconductors,llm_tail_v1 (medium)
life360,tech_software_internet,llm_tail_v1 (high)
marqeta,nonprofit,llm_tail_v1 (medium)
marqvision,tech_software_internet,llm_tail_v1 (high)
marvin,transportation_logistics,llm_tail_v1 (high)
miqdigital,media_entertainment,llm_tail_v1 (medium)
nexstar-media-group-inc,media_entertainment,llm_tail_v1 (high)
omnea,tech_software_internet,llm_tail_v1 (high)
onhires,tech_software_internet,llm_tail_v1 (high)
openfx,tech_software_internet,llm_tail_v1 (high)
otter,tech_software_internet,llm_tail_v1 (high)
phdata,tech_software_internet,llm_tail_v1 (medium)
projectaservicesgmbhcokg,tech_software_internet,llm_tail_v1 (high)
public-bank-berhad,finance_banking,llm_tail_v1 (high)
reolink,tech_software_internet,llm_tail_v1 (high)
sereact,tech_hardware_semiconductors,llm_tail_v1 (high)
sfeir,tech_software_internet,llm_tail_v1 (high)
thenuclearcompany,energy_utilities,llm_tail_v1 (medium)
triafederal,tech_software_internet,llm_tail_v1 (high)
u-mobile-sdn-bhd,tech_software_internet,llm_tail_v1 (high)
unframe,tech_software_internet,llm_tail_v1 (high)
veracyte,healthcare_provider,llm_tail_v1 (high)
witheritelawgroup,tech_software_internet,llm_tail_v1 (high)
xyz-reality,real_estate_construction,llm_tail_v1 (medium)
7-eleven-malaysia-sdn-bhd,retail_ecommerce,llm_tail_v1 (high)
associa,real_estate_construction,llm_tail_v1 (high)
atomicmachines,tech_software_internet,llm_tail_v1 (high)
bcforward,tech_software_internet,llm_tail_v1 (high)
carmax,automotive,llm_tail_v1 (high)
compasspathways,healthcare_pharma_biotech,llm_tail_v1 (medium)
dadavidson,tech_software_internet,llm_tail_v1 (high)
dbtlabsinc,tech_software_internet,llm_tail_v1 (medium)
edb,tech_software_internet,llm_tail_v1 (medium)
fedex-logistics,transportation_logistics,llm_tail_v1 (high)
fschumacherco,tech_software_internet,llm_tail_v1 (high)
godaddy,tech_software_internet,llm_tail_v1 (high)
hackerrank,tech_software_internet,llm_tail_v1 (medium)
hydritechemicalco,healthcare_provider,llm_tail_v1 (medium)
impressive-communications-sdn-bhd,real_estate_construction,llm_tail_v1 (high)
iterativehealth,healthcare_provider,llm_tail_v1 (high)
mastech-digital,real_estate_construction,llm_tail_v1 (high)
medix,healthcare_provider,llm_tail_v1 (high)
nextgenfed,tech_software_internet,llm_tail_v1 (high)
perusahaan-otomobil-nasional-sdn-bhd-proton,manufacturing,llm_tail_v1 (medium)
physicsx,tech_software_internet,llm_tail_v1 (high)
proxima-fusion,tech_software_internet,llm_tail_v1 (medium)
relay,tech_software_internet,llm_tail_v1 (high)
rewardsnetwork,tech_software_internet,llm_tail_v1 (high)
sqaservices,defense_aerospace,llm_tail_v1 (high)
stryker,tech_software_internet,llm_tail_v1 (high)
syazna-world,consulting_professional_services,llm_tail_v1 (medium)
theex,agriculture_food_production,llm_tail_v1 (high)
tkda,real_estate_construction,llm_tail_v1 (high)
triumvirateenvironmental,healthcare_pharma_biotech,llm_tail_v1 (medium)
westlake,transportation_logistics,llm_tail_v1 (high)
wing,tech_software_internet,llm_tail_v1 (high)
workday,tech_software_internet,llm_tail_v1 (high)
wsp-in-the-u-s,consulting_professional_services,llm_tail_v1 (medium)
actionlife,real_estate_construction,llm_tail_v1 (medium)
aeva,tech_hardware_semiconductors,llm_tail_v1 (medium)
anchanto,tech_software_internet,llm_tail_v1 (medium)
backmarket,tech_software_internet,llm_tail_v1 (high)
bitpanda,tech_software_internet,llm_tail_v1 (high)
brooksource,real_estate_construction,llm_tail_v1 (high)
c3iot,tech_software_internet,llm_tail_v1 (medium)
caceis-malaysia,tech_software_internet,llm_tail_v1 (medium)
camunda,tech_software_internet,llm_tail_v1 (high)
cellink,manufacturing,llm_tail_v1 (high)
ceva-logistics-malaysia-sdn-bhd,retail_ecommerce,llm_tail_v1 (high)
cgp-personnel,hospitality_food_service,llm_tail_v1 (high)
deloitte-consulting-sea,tech_software_internet,llm_tail_v1 (high)
demo.uipath.com,tech_software_internet,llm_tail_v1 (medium)
earnin,tech_software_internet,llm_tail_v1 (high)
ensco,tech_software_internet,llm_tail_v1 (high)
equitable,finance_insurance,llm_tail_v1 (medium)
geniussports,tech_software_internet,llm_tail_v1 (high)
growtherapy,tech_software_internet,llm_tail_v1 (high)
gruve,tech_software_internet,llm_tail_v1 (medium)
hewlett-packard-enterprise,tech_software_internet,llm_tail_v1 (high)
horacemannservicecorporation,tech_software_internet,llm_tail_v1 (high)
idr-inc,tech_software_internet,llm_tail_v1 (medium)
imagineart,tech_software_internet,llm_tail_v1 (medium)
last-energy,energy_utilities,llm_tail_v1 (high)
mavensecuritiesholdingltd,real_estate_construction,llm_tail_v1 (high)
meshy,tech_software_internet,llm_tail_v1 (high)
mission-technologies-a-division-of-hii,tech_software_internet,llm_tail_v1 (high)
mollie,finance_fintech,llm_tail_v1 (high)
multiverse,tech_software_internet,llm_tail_v1 (high)
ni-malaysia-sdn-bhd,tech_software_internet,llm_tail_v1 (high)
pathward,tech_software_internet,llm_tail_v1 (high)
peregrinetechnologies,tech_software_internet,llm_tail_v1 (high)
place,real_estate_construction,llm_tail_v1 (medium)
qualdoc,manufacturing,llm_tail_v1 (high)
scout24,tech_software_internet,llm_tail_v1 (medium)
silananotechnologies,energy_utilities,llm_tail_v1 (medium)
siri-infosolutions-inc,tech_software_internet,llm_tail_v1 (medium)
toptal,tech_software_internet,llm_tail_v1 (high)
twelve-labs,media_entertainment,llm_tail_v1 (medium)
v2x-inc,real_estate_construction,llm_tail_v1 (medium)
vendelux,consulting_professional_services,llm_tail_v1 (high)
viralnation,media_entertainment,llm_tail_v1 (medium)
yipitdatajobs,tech_software_internet,llm_tail_v1 (medium)
adobe,tech_software_internet,llm_tail_v1 (high)
aptask,tech_software_internet,llm_tail_v1 (high)
bottomlinetechnologies,finance_fintech,llm_tail_v1 (medium)
capgemini-services-malaysia-sdn-bhd,tech_software_internet,llm_tail_v1 (medium)
cmr.london,media_entertainment,llm_tail_v1 (medium)
collibra,tech_software_internet,llm_tail_v1 (high)
cypresscreekrenewables,tech_software_internet,llm_tail_v1 (high)
d2l,tech_software_internet,llm_tail_v1 (medium)
dexory,tech_software_internet,llm_tail_v1 (medium)
dianahealth94,healthcare_provider,llm_tail_v1 (medium)
emburse,tech_software_internet,llm_tail_v1 (high)
employerdirecthealthcare,tech_software_internet,llm_tail_v1 (high)
epirus,tech_software_internet,llm_tail_v1 (medium)
flywheeldigital,tech_software_internet,llm_tail_v1 (high)
foratravel,tech_software_internet,llm_tail_v1 (high)
georgia-pacific-llc,tech_software_internet,llm_tail_v1 (medium)
globalizationpartners,tech_software_internet,llm_tail_v1 (medium)
heartland-alliance,healthcare_provider,llm_tail_v1 (high)
hootsuite,tech_software_internet,llm_tail_v1 (high)
hpiq,tech_software_internet,llm_tail_v1 (high)
ifast-capital-sdn-bhd,tech_software_internet,llm_tail_v1 (high)
invited,consumer_brands,llm_tail_v1 (high)
ivalua,tech_software_internet,llm_tail_v1 (high)
j-t-express-malaysia-sdn-bhd,finance_insurance,llm_tail_v1 (medium)
kinders,manufacturing,llm_tail_v1 (high)
mejuri,retail_ecommerce,llm_tail_v1 (high)
neowiz,media_entertainment,llm_tail_v1 (high)
nox-metals,tech_software_internet,llm_tail_v1 (medium)
orcabiosystems,healthcare_provider,llm_tail_v1 (high)
oxydata-software-sdn-bhd,tech_software_internet,llm_tail_v1 (high)
paratekpharmaceuticals,tech_software_internet,llm_tail_v1 (high)
partly.com,tech_software_internet,llm_tail_v1 (high)
quinstreet,media_entertainment,llm_tail_v1 (medium)
realmanage-family-of-brands,tech_software_internet,llm_tail_v1 (medium)
redwoodsoftware,tech_software_internet,llm_tail_v1 (high)
steadily,tech_software_internet,llm_tail_v1 (high)
swift-strategic-solutions-inc,nonprofit,llm_tail_v1 (medium)
tailor,tech_software_internet,llm_tail_v1 (high)
terac,media_entertainment,llm_tail_v1 (high)
townsquaremedia,tech_software_internet,llm_tail_v1 (medium)
trading212,tech_software_internet,llm_tail_v1 (high)
unisoninfra,energy_utilities,llm_tail_v1 (medium)
ursamajor,automotive,llm_tail_v1 (medium)
vscfiresecurityinc,real_estate_construction,llm_tail_v1 (high)
wealthsimple,finance_fintech,llm_tail_v1 (medium)
weride,tech_software_internet,llm_tail_v1 (high)
3cloud,tech_software_internet,llm_tail_v1 (high)
66degrees,tech_software_internet,llm_tail_v1 (high)
addi,tech_software_internet,llm_tail_v1 (high)
amboss,healthcare_provider,llm_tail_v1 (medium)
autoscout24,tech_software_internet,llm_tail_v1 (high)
blockchain,finance_fintech,llm_tail_v1 (medium)
candidhealth,tech_software_internet,llm_tail_v1 (high)
cloudsek,tech_software_internet,llm_tail_v1 (high)
creative-circle,tech_software_internet,llm_tail_v1 (medium)
disco,tech_software_internet,llm_tail_v1 (high)
energyexemplarllc,tech_software_internet,llm_tail_v1 (high)
experian-malaysia-sdn-bhd,finance_insurance,llm_tail_v1 (high)
expressvpn,tech_software_internet,llm_tail_v1 (high)
freshprints,finance_fintech,llm_tail_v1 (high)
gallup,tech_software_internet,llm_tail_v1 (high)
hdr,consumer_brands,llm_tail_v1 (medium)
homechef,tech_software_internet,llm_tail_v1 (high)
hyperexponential,tech_software_internet,llm_tail_v1 (high)
incompasshealth,healthcare_provider,llm_tail_v1 (high)
innova-solutions,media_entertainment,llm_tail_v1 (medium)
inspiraeducation,education_higher,llm_tail_v1 (medium)
interdependence,media_entertainment,llm_tail_v1 (medium)
jacobs,defense_aerospace,llm_tail_v1 (high)
lyratechgroup,tech_software_internet,llm_tail_v1 (high)
mclane-company-inc,transportation_logistics,llm_tail_v1 (high)
midpenhousing,finance_banking,llm_tail_v1 (high)
nasuni,tech_software_internet,llm_tail_v1 (medium)
nflcareers,consulting_professional_services,llm_tail_v1 (high)
nike,consumer_brands,llm_tail_v1 (high)
opentable,hospitality_food_service,llm_tail_v1 (medium)
remoteworker-us,healthcare_provider,llm_tail_v1 (high)
safeway,healthcare_pharma_biotech,llm_tail_v1 (medium)
siemens,tech_software_internet,llm_tail_v1 (medium)
smart-working-solutions,tech_software_internet,llm_tail_v1 (high)
squishable,retail_ecommerce,llm_tail_v1 (high)
terrascend,manufacturing,llm_tail_v1 (high)
the-fountain-group,healthcare_pharma_biotech,llm_tail_v1 (high)
thefloridapanthers,tech_software_internet,llm_tail_v1 (high)
trexsolutions,tech_software_internet,llm_tail_v1 (high)
tx-inc.com,tech_software_internet,llm_tail_v1 (medium)
ulta-beauty,consumer_brands,llm_tail_v1 (high)
upvest,tech_software_internet,llm_tail_v1 (high)
wwprosolutions,tech_hardware_semiconductors,llm_tail_v1 (high)
8451,retail_ecommerce,llm_tail_v1 (medium)
Loop AI,tech_software_internet,llm_tail_v1 (medium)
Peec,tech_software_internet,llm_tail_v1 (medium)
ae-2,tech_software_internet,llm_tail_v1 (high)
aipconnect,tech_software_internet,llm_tail_v1 (high)
arq,finance_fintech,llm_tail_v1 (medium)
authenticbrandsgroup,media_entertainment,llm_tail_v1 (medium)
betterment,finance_banking,llm_tail_v1 (medium)
blp-digital,tech_software_internet,llm_tail_v1 (high)
cognite,tech_software_internet,llm_tail_v1 (high)
couchbaseinc,tech_software_internet,llm_tail_v1 (medium)
eliassen-group,real_estate_construction,llm_tail_v1 (high)
fis,tech_software_internet,llm_tail_v1 (high)
fundraiseup,real_estate_construction,llm_tail_v1 (high)
hevodata,tech_software_internet,llm_tail_v1 (medium)
itslogisticsllc,transportation_logistics,llm_tail_v1 (high)
leonardo-drs,automotive,llm_tail_v1 (medium)
luxurypresence,tech_software_internet,llm_tail_v1 (medium)
magnetforensics,tech_software_internet,llm_tail_v1 (medium)
maricopa-county,public_sector_government,llm_tail_v1 (high)
milhouseinc,real_estate_construction,llm_tail_v1 (high)
mozilla,tech_software_internet,llm_tail_v1 (medium)
nearform,tech_software_internet,llm_tail_v1 (high)
optomi,finance_banking,llm_tail_v1 (medium)
paloit,tech_software_internet,llm_tail_v1 (high)
pendo,tech_software_internet,llm_tail_v1 (medium)
pmaconsultants,real_estate_construction,llm_tail_v1 (high)
recursionpharmaceuticals,healthcare_provider,llm_tail_v1 (high)
rowan,energy_utilities,llm_tail_v1 (high)
skhynixamerica,tech_software_internet,llm_tail_v1 (high)
smavagmbh,finance_banking,llm_tail_v1 (high)
standardbots,tech_software_internet,llm_tail_v1 (high)
suitsupply,retail_ecommerce,llm_tail_v1 (high)
tentacle-tech,tech_software_internet,llm_tail_v1 (high)
threattec,gaming,llm_tail_v1 (medium)
tradesmen-international,media_entertainment,llm_tail_v1 (medium)
wilsonelser,legal_services,llm_tail_v1 (medium)
xcimer,energy_utilities,llm_tail_v1 (medium)
xl-pro-staffing-and-consulting-group,consulting_professional_services,llm_tail_v1 (high)
abb,tech_hardware_semiconductors,llm_tail_v1 (high)
accuweather,public_sector_government,llm_tail_v1 (medium)
amca,manufacturing,llm_tail_v1 (medium)
aya-locums,healthcare_provider,llm_tail_v1 (high)
calyxo,healthcare_provider,llm_tail_v1 (high)
coveoen,tech_software_internet,llm_tail_v1 (medium)
crfamilyofcompanies,consulting_professional_services,llm_tail_v1 (medium)
dlhcorporation,tech_software_internet,llm_tail_v1 (high)
echodynecorp,automotive,llm_tail_v1 (medium)
glsllc,tech_software_internet,llm_tail_v1 (medium)
goldman-sachs,tech_software_internet,llm_tail_v1 (high)
keystone,tech_software_internet,llm_tail_v1 (high)
kpmgnz,public_sector_government,llm_tail_v1 (medium)
lululemon,consumer_brands,llm_tail_v1 (medium)
matlen-silver,finance_insurance,llm_tail_v1 (high)
menlosecurity,finance_banking,llm_tail_v1 (medium)
momentumfinancialservicesgroup,tech_software_internet,llm_tail_v1 (high)
munich-electrification,tech_software_internet,llm_tail_v1 (high)
mynews-holdings-berhad,retail_ecommerce,llm_tail_v1 (high)
nabis,retail_ecommerce,llm_tail_v1 (medium)
nahc,tech_software_internet,llm_tail_v1 (medium)
netomi,tech_software_internet,llm_tail_v1 (medium)
nexthreat.com,tech_software_internet,llm_tail_v1 (high)
niramedical,finance_fintech,llm_tail_v1 (high)
nothing,tech_software_internet,llm_tail_v1 (high)
novo-nordisk,healthcare_provider,llm_tail_v1 (medium)
oneapp,tech_software_internet,llm_tail_v1 (high)
onward-search,consulting_professional_services,llm_tail_v1 (medium)
paddle,finance_fintech,llm_tail_v1 (medium)
parallelwireless,tech_software_internet,llm_tail_v1 (medium)
parsons-corporation,finance_insurance,llm_tail_v1 (high)
porter,tech_software_internet,llm_tail_v1 (medium)
ridezum,automotive,llm_tail_v1 (medium)
riskified,tech_software_internet,llm_tail_v1 (high)
sanity,tech_software_internet,llm_tail_v1 (high)
silver,tech_software_internet,llm_tail_v1 (medium)
sime-darby-berhad,public_sector_government,llm_tail_v1 (high)
tamara,finance_fintech,llm_tail_v1 (medium)
tarsusrx,finance_insurance,llm_tail_v1 (high)
tdcx,media_entertainment,llm_tail_v1 (high)
technip-energies,energy_utilities,llm_tail_v1 (medium)
troon,healthcare_provider,llm_tail_v1 (medium)
ust,tech_software_internet,llm_tail_v1 (high)
xometryeurope,manufacturing,llm_tail_v1 (medium)
zoll-medical-corporation,tech_software_internet,llm_tail_v1 (medium)
zopa,tech_software_internet,llm_tail_v1 (high)
albemarle-corporation,energy_utilities,llm_tail_v1 (medium)
aquent,tech_software_internet,llm_tail_v1 (high)
astrazeneca,healthcare_provider,llm_tail_v1 (high)
basis-ai,tech_software_internet,llm_tail_v1 (medium)
bdainc,retail_ecommerce,llm_tail_v1 (high)
bdo-usa,tech_software_internet,llm_tail_v1 (medium)
bridgestone-retail-operations-llc,retail_ecommerce,llm_tail_v1 (high)
brunswickgroup,tech_software_internet,llm_tail_v1 (high)
caylent,tech_software_internet,llm_tail_v1 (high)
clubmonaco,consumer_brands,llm_tail_v1 (medium)
complyadvantage,tech_software_internet,llm_tail_v1 (medium)
deltasands,defense_aerospace,llm_tail_v1 (medium)
eaton,tech_software_internet,llm_tail_v1 (high)
eqtcorporation,energy_utilities,llm_tail_v1 (medium)
fartherfinance,finance_fintech,llm_tail_v1 (medium)
hoyoverse,tech_software_internet,llm_tail_v1 (medium)
htc-global-services,tech_software_internet,llm_tail_v1 (high)
hytech-consulting-management-sdn-bhd,tech_software_internet,llm_tail_v1 (high)
jsk-group-of-companies,real_estate_construction,llm_tail_v1 (medium)
kbr-inc,healthcare_provider,llm_tail_v1 (high)
keenfootwear,energy_utilities,llm_tail_v1 (high)
kohler-co,hospitality_food_service,llm_tail_v1 (high)
konica-minolta-business-solutions-m-sdn-bhd,tech_software_internet,llm_tail_v1 (high)
kumon-centre,education_k12,llm_tail_v1 (medium)
leavitt,finance_insurance,llm_tail_v1 (medium)
mark43,tech_software_internet,llm_tail_v1 (high)
mks2technologies,tech_software_internet,llm_tail_v1 (medium)
my-fimedia-network-technology-sdn-bhd,tech_software_internet,llm_tail_v1 (medium)
napa-auto-parts,retail_ecommerce,llm_tail_v1 (medium)
nuitee,finance_fintech,llm_tail_v1 (medium)
orchard,tech_software_internet,llm_tail_v1 (high)
poshmark,tech_software_internet,llm_tail_v1 (high)
qonto,finance_banking,llm_tail_v1 (medium)
reonic,tech_software_internet,llm_tail_v1 (high)
restaurant365,tech_software_internet,llm_tail_v1 (medium)
rula,tech_software_internet,llm_tail_v1 (high)
ryder-system-inc,transportation_logistics,llm_tail_v1 (high)
seekselect-prehire,retail_ecommerce,llm_tail_v1 (high)
simplepractice55,tech_software_internet,llm_tail_v1 (medium)
singlestore,tech_software_internet,llm_tail_v1 (medium)
slingshotaerospace,defense_aerospace,llm_tail_v1 (high)
softworld-a-kelly-company,tech_software_internet,llm_tail_v1 (medium)
sphereentertainment,media_entertainment,llm_tail_v1 (medium)
swile,tech_software_internet,llm_tail_v1 (high)
vulcanelements,automotive,llm_tail_v1 (medium)
360learning,tech_software_internet,llm_tail_v1 (high)
alliance-steel-m-sdn-bhd,real_estate_construction,llm_tail_v1 (medium)
americaninstitutesforresearch,tech_software_internet,llm_tail_v1 (high)
apolloio,tech_software_internet,llm_tail_v1 (medium)
aylo,tech_software_internet,llm_tail_v1 (high)
bamboohr17,tech_software_internet,llm_tail_v1 (high)
brainco,tech_software_internet,llm_tail_v1 (high)
c3el,defense_aerospace,llm_tail_v1 (high)
captiveaire,real_estate_construction,llm_tail_v1 (medium)
chargepoint,tech_software_internet,llm_tail_v1 (medium)
clipboard,tech_software_internet,llm_tail_v1 (high)
commerz-global-service-solutions-sdn-bhd-formerly-known-as-commerz-trade-services,tech_software_internet,llm_tail_v1 (high)
componentrepairtechnologies,manufacturing,llm_tail_v1 (medium)
defense-commissary-agency,defense_aerospace,llm_tail_v1 (high)
docplanner,tech_software_internet,llm_tail_v1 (medium)
generac,energy_utilities,llm_tail_v1 (high)
gocardless,finance_fintech,llm_tail_v1 (medium)
goteleport,tech_software_internet,llm_tail_v1 (medium)
hillhousehome,retail_ecommerce,llm_tail_v1 (high)
hudl,media_entertainment,llm_tail_v1 (high)
ijm-corporation-berhad,consulting_professional_services,llm_tail_v1 (medium)
intecrowd,consulting_professional_services,llm_tail_v1 (high)
interfaceai,tech_software_internet,llm_tail_v1 (medium)
intersect,tech_software_internet,llm_tail_v1 (high)
johnson-mirmiran-thompson,consulting_professional_services,llm_tail_v1 (medium)
kenvue,consulting_professional_services,llm_tail_v1 (medium)
kpg99-inc,retail_ecommerce,llm_tail_v1 (medium)
marsh-mclennan-agency,finance_insurance,llm_tail_v1 (high)
merlinlabs,tech_software_internet,llm_tail_v1 (high)
metropolitan-transportation-authority,real_estate_construction,llm_tail_v1 (high)
momsmeals,media_entertainment,llm_tail_v1 (medium)
navvis,tech_software_internet,llm_tail_v1 (medium)
neara,tech_software_internet,llm_tail_v1 (high)
neo4j,tech_software_internet,llm_tail_v1 (high)
novaspace,defense_aerospace,llm_tail_v1 (high)
oscilar,tech_software_internet,llm_tail_v1 (high)
pandora,media_entertainment,llm_tail_v1 (medium)
perscholashires,tech_software_internet,llm_tail_v1 (high)
sequence,tech_software_internet,llm_tail_v1 (medium)
serval,tech_software_internet,llm_tail_v1 (high)
shopmy,retail_ecommerce,llm_tail_v1 (medium)
soldejaneiro,healthcare_provider,llm_tail_v1 (medium)
solvd,tech_software_internet,llm_tail_v1 (medium)
tecovas,retail_ecommerce,llm_tail_v1 (high)
the-mom-project,transportation_logistics,llm_tail_v1 (medium)
the-mosaic-company,consulting_professional_services,llm_tail_v1 (high)
themesoft-inc,tech_software_internet,llm_tail_v1 (high)
trainline,media_entertainment,llm_tail_v1 (high)
transmitsecurity,tech_software_internet,llm_tail_v1 (medium)
